
 item_id | time                            | item_dsc                 | value
    8001 | 2020-03-17 20:28:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 20:23:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 20:18:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 20:13:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 20:08:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 20:03:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:58:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:53:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:48:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:43:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:33:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:28:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:23:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:18:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:13:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:08:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 19:03:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 18:58:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 18:53:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 18:48:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 18:43:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 18:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 18:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 18:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 18:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 18:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 18:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 18:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 18:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 17:03:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 16:58:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:53:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:48:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:43:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:38:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:33:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:28:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:23:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:18:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:13:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:08:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 16:03:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:58:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:53:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:48:20.000000+0000 | Barometric pressure (mb) | 1013.00

 item_id | time                            | item_dsc                 | value
---------+---------------------------------+--------------------------+---------
    8001 | 2020-03-17 15:43:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:38:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:33:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:28:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:23:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:18:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:13:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:08:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 15:03:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:58:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:53:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:48:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:43:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:38:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:33:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:28:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:23:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-17 14:18:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 14:13:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 14:08:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 14:03:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 13:58:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 13:53:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 13:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:28:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-17 13:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 13:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
